x1,x2,x3,x4,x5,x6
2020-11-27 17:00:00,216.5,216.5,216.5,216.5,298
2020-11-27 16:59:00,216.51,216.51,216.51,216.51,197
2020-11-27 16:55:00,216.56,216.56,216.55,216.55,384
2020-11-27 16:50:00,216.65,216.65,216.65,216.65,450
2020-11-27 16:48:00,216.55,216.55,216.55,216.55,137
2020-11-27 16:46:00,216.65,216.65,216.65,216.65,550
2020-11-27 16:41:00,216.58,216.58,216.58,216.58,267
2020-11-27 16:27:00,216.5,216.55,216.5,216.55,4942
2020-11-27 16:20:00,216.51,216.51,216.51,216.51,105
2020-11-27 16:09:00,216.52,216.52,216.5,216.5,9576
2020-11-27 16:07:00,216.55,216.55,216.55,216.55,345
2020-11-27 16:05:00,216.6,216.6,216.6,216.6,150
2020-11-27 15:31:00,216.5,216.5,216.5,216.5,0
2020-11-27 13:11:00,216.5,216.5,216.5,216.5,0
2020-11-27 13:01:00,216.5,216.5,216.5,216.5,105311
2020-11-27 13:00:00,216.29,216.6,216.28,216.5001,121834
2020-11-27 12:59:00,216.48,216.54,216.28,216.3,55574
2020-11-27 12:58:00,216.4432,216.55,216.42,216.44,18881
2020-11-27 12:57:00,216.69,216.69,216.39,216.45,36051
2020-11-27 12:56:00,216.5233,216.8,216.4701,216.7224,45499
2020-11-27 12:55:00,216.47,216.5799,216.45,216.5368,22531
2020-11-27 12:54:00,216.665,216.6799,216.4501,216.4747,35918
2020-11-27 12:53:00,216.7501,216.78,216.6201,216.67,22365
2020-11-27 12:52:00,216.755,216.87,216.58,216.79,42294
2020-11-27 12:51:00,216.75,216.75,216.6112,216.74,31479
2020-11-27 12:50:00,216.69,216.87,216.5952,216.7318,56812
2020-11-27 12:49:00,216.473,216.69,216.45,216.6701,41182
2020-11-27 12:48:00,216.431,216.5723,216.3801,216.4356,26585
2020-11-27 12:47:00,216.47,216.47,216.3552,216.3862,19356
2020-11-27 12:46:00,216.33,216.4799,216.29,216.425,18713
